step,value
1,0.7067707777023315
2,0.6554396748542786
3,0.6729206442832947
4,0.6598198413848877
5,0.6708568334579468
6,0.7764227986335754
7,0.7368526458740234
8,0.6882880926132202
9,0.6590938568115234
10,0.7253663539886475
11,0.7402493357658386
12,0.6481591463088989
13,0.7433246374130249
14,0.7141673564910889
15,0.7115196585655212
16,0.6650623679161072
17,0.7240172624588013
18,0.711273729801178
19,0.6464543342590332
20,0.6810641288757324
21,0.6858267784118652
22,0.7004446983337402
23,0.6776068806648254
24,0.705350399017334
25,0.6950720548629761
26,0.6935082077980042
27,0.7012420892715454
28,0.6904380917549133
29,0.6776956915855408
30,0.6929922103881836
31,0.6994977593421936
32,0.6949899196624756
33,0.6799705028533936
34,0.6605595350265503
35,0.7130624055862427
36,0.7000637650489807
37,0.6859690546989441
38,0.6767030954360962
39,0.6936550140380859
40,0.7005487680435181
41,0.6996808648109436
42,0.6519056558609009
43,0.6549628376960754
44,0.6688075661659241
45,0.6965832710266113
46,0.654944896697998
47,0.6608570218086243
48,0.6620165109634399
49,0.6932440996170044
50,0.6843899488449097
51,0.6754995584487915
52,0.6815481781959534
53,0.7209025025367737
54,0.6758854389190674
55,0.6534427404403687
56,0.6662771105766296
57,0.6849907040596008
58,0.7400315403938293
59,0.7337477207183838
60,0.6946127414703369
61,0.6649456024169922
62,0.6736627817153931
63,0.6733134388923645
64,0.6500988006591797
65,0.694040060043335
66,0.672892153263092
67,0.6454839110374451
68,0.618787944316864
69,0.660321056842804
70,0.6941534876823425
71,0.701379656791687
72,0.5949560403823853
73,0.6776002645492554
74,0.7051361799240112
75,0.657677412033081
76,0.670396625995636
77,0.6375561356544495
78,0.6445059180259705
79,0.6982825398445129
80,0.6822620630264282
81,0.5979500412940979
82,0.6676799058914185
83,0.6087594032287598
84,0.6194896697998047
85,0.6413359045982361
86,0.650876522064209
87,0.6464471220970154
88,0.6436411738395691
89,0.632084846496582
90,0.6529728174209595
91,0.6969760656356812
92,0.6202207207679749
93,0.6437402963638306
94,0.7373865246772766
95,0.6547626256942749
96,0.615666389465332
97,0.6560439467430115
98,0.6626457571983337
99,0.612906813621521
100,0.6771169900894165
101,0.7103863954544067
102,0.6268755197525024
103,0.6674281358718872
104,0.7535128593444824
105,0.6431876420974731
106,0.6381996273994446
107,0.6062007546424866
108,0.6492951512336731
109,0.6170089244842529
110,0.6566604375839233
111,0.6472731232643127
112,0.7271586060523987
113,0.6352625489234924
114,0.6249058842658997
115,0.6216359734535217
116,0.6650391221046448
117,0.7013059854507446
118,0.7237966060638428
119,0.6352613568305969
120,0.6342414021492004
121,0.588162899017334
122,0.6101858615875244
123,0.6212817430496216
124,0.6267322301864624
125,0.6060272455215454
126,0.6538819670677185
127,0.6246477365493774
128,0.616518497467041
129,0.6614188551902771
130,0.6355827450752258
131,0.6271536946296692
132,0.6766486167907715
133,0.6475692987442017
134,0.5946725606918335
135,0.6508474946022034
136,0.6614136099815369
137,0.6863768696784973
138,0.6105437278747559
139,0.6765069961547852
140,0.6414472460746765
141,0.6472690105438232
142,0.6332108974456787
143,0.685440719127655
144,0.6331064701080322
145,0.6342295408248901
146,0.6714832186698914
147,0.6650864481925964
148,0.6273857951164246
149,0.5924908518791199
