step,value
1,0.5842405557632446
2,0.5555402040481567
3,0.5175630450248718
4,0.5293216705322266
5,0.757463812828064
6,0.47620251774787903
7,0.4988909661769867
8,0.5480897426605225
9,0.5645439028739929
10,0.6354545950889587
11,0.3770846128463745
12,0.6400104761123657
13,0.38172245025634766
14,0.36755460500717163
15,0.3543543517589569
16,0.4604972004890442
17,0.5980908870697021
18,0.5744889974594116
19,0.4297747015953064
20,0.39197686314582825
21,0.6279591917991638
22,0.8051394820213318
23,0.600145697593689
24,0.5133005380630493
25,0.7409974336624146
26,0.204095721244812
27,0.460588276386261
28,0.4208953380584717
29,0.5793488621711731
30,0.3620615303516388
31,0.3924812376499176
32,0.41872844099998474
33,0.5525628924369812
34,0.7446374893188477
35,0.4173071086406708
36,0.5573088526725769
37,0.6100203990936279
38,0.33134526014328003
39,0.43319860100746155
40,0.33534640073776245
41,0.5006512999534607
42,0.4434623718261719
43,0.5644489526748657
44,0.3501937687397003
45,0.5904363393783569
46,0.3639727830886841
47,0.8023520708084106
48,0.3749792277812958
49,0.29602113366127014
50,0.5653157234191895
51,0.6077361702919006
52,0.5750152468681335
53,0.48013997077941895
54,0.5924891829490662
55,0.8346920013427734
56,0.3840808868408203
57,0.6068320870399475
58,0.430316299200058
59,0.5036163330078125
60,0.4931970238685608
61,0.24605892598628998
62,0.5373690128326416
63,0.6510226130485535
64,0.4387706518173218
65,0.47006866335868835
66,0.42556172609329224
67,0.3701445758342743
68,0.4039230942726135
69,0.3514399826526642
70,0.39757591485977173
71,0.46651726961135864
72,0.48636671900749207
73,0.6049443483352661
74,0.4686509370803833
75,0.4304349422454834
76,0.6152081489562988
77,0.42859023809432983
78,0.35370129346847534
79,0.34634992480278015
80,0.4789140522480011
81,0.5753563642501831
82,0.7618030905723572
83,0.5758605599403381
84,0.6264986991882324
85,0.4791634976863861
86,0.6057995557785034
87,0.32801857590675354
88,0.5498138070106506
89,0.19250541925430298
90,0.27886953949928284
91,0.6710163950920105
92,0.3927968442440033
93,0.591981053352356
94,0.37253618240356445
95,0.5216546058654785
96,0.5302481651306152
97,0.3780932128429413
98,0.7036652565002441
99,0.3436403274536133
100,0.6866040229797363
101,0.28362876176834106
102,0.6148480176925659
103,0.3676374852657318
104,0.45566344261169434
105,0.7169262170791626
106,0.6209179162979126
107,0.47729209065437317
108,0.458981990814209
109,0.7060940265655518
110,0.45088478922843933
111,0.5101464986801147
112,0.42114850878715515
113,0.5954043865203857
114,0.3962208926677704
115,0.3193258047103882
116,0.5152437686920166
117,0.3518296182155609
118,0.7484790682792664
119,0.4393389821052551
120,0.47473734617233276
121,0.5573251247406006
122,0.5008540749549866
123,0.5929890871047974
124,0.4694920480251312
125,0.44290274381637573
126,0.4427899718284607
127,0.2501101493835449
128,0.3486643433570862
129,0.37245720624923706
130,0.6007250547409058
131,0.3624338209629059
132,0.4193224608898163
133,0.6050317883491516
134,0.5267540812492371
135,0.41546323895454407
136,0.35951587557792664
137,0.4563087224960327
138,0.3157620131969452
139,0.3984450697898865
140,0.6038224101066589
141,0.4266590476036072
142,0.47494620084762573
143,0.5284602046012878
144,0.42729300260543823
145,0.47973522543907166
146,0.40087464451789856
147,0.47546297311782837
148,0.3692265450954437
149,0.6497899889945984
150,0.52005934715271
151,0.39781519770622253
152,0.5133818984031677
153,0.5069088339805603
154,0.612424373626709
155,0.32785341143608093
156,0.5610268115997314
157,0.5585188865661621
158,0.3227643668651581
159,0.5250566601753235
160,0.7636653184890747
161,0.5703847408294678
162,0.2725691795349121
163,0.5095965266227722
164,0.33817288279533386
165,0.5332367420196533
166,0.462016224861145
167,0.7873525619506836
168,0.3790581524372101
169,0.3975732624530792
170,0.5045745372772217
171,0.402893990278244
172,0.5502293109893799
173,0.3666447401046753
174,0.7011510133743286
175,0.6494627594947815
176,0.19416135549545288
177,0.4272584021091461
178,0.6848556399345398
179,0.49478161334991455
180,0.5339376330375671
181,0.356269896030426
182,0.380850225687027
183,0.43245959281921387
184,0.5390059947967529
185,0.6221640706062317
186,0.45887520909309387
187,0.5180131793022156
188,0.4453795552253723
189,0.5638777613639832
190,0.4081907570362091
191,0.5343495011329651
192,0.27595779299736023
193,0.3853265941143036
194,0.5411271452903748
195,0.6265835165977478
196,0.3821541368961334
197,0.36454933881759644
198,0.5247316956520081
199,0.3471616804599762
200,0.6153213381767273
201,0.7579277753829956
202,0.43486112356185913
203,0.4165869653224945
204,0.36782902479171753
205,0.3036026358604431
206,0.1665821522474289
207,0.6278768181800842
208,0.24584396183490753
209,0.611653208732605
210,0.5059042572975159
211,0.32915210723876953
212,0.49115973711013794
213,0.4431353211402893
214,0.43097174167633057
215,0.4772670269012451
216,0.3493861258029938
217,0.6079864501953125
218,0.4612981081008911
219,0.6454347372055054
220,0.5381515026092529
221,0.3958020806312561
222,0.4332149028778076
223,0.4267922043800354
224,0.493373304605484
225,0.6750764846801758
226,0.43436843156814575
227,0.31143608689308167
228,0.5105624794960022
229,0.1334884613752365
230,0.47468000650405884
231,0.3902182877063751
232,0.6165027618408203
233,0.49143320322036743
234,0.2684022784233093
235,0.47272756695747375
236,0.5913063287734985
237,0.30402979254722595
238,0.3461373746395111
239,0.3986385762691498
240,0.47932472825050354
241,0.43589475750923157
242,0.12628600001335144
243,0.5825002193450928
244,0.46419277787208557
245,0.4451617896556854
246,0.26501792669296265
247,0.5542397499084473
248,0.6497775912284851
249,0.3599565327167511
250,0.618747889995575
251,0.6268259286880493
252,0.43039369583129883
253,0.4089255928993225
254,0.6088467836380005
255,0.5503666400909424
